,game,model,experiment,episode,metric,value
23,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Aborted,1.0
24,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Request Count,1.0
25,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Violated Request Count,1.0
26,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Parsed Request Count,0.0
27,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_1,Request Success Ratio,0.0
28,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Precision,
29,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Recall,
30,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,F1,
31,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Main Score,
32,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Average Changed Cell Count,
33,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Average Generated Instruction Length,
34,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Average Generated Expression Number of Tokens,
35,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Success,0.0
36,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Lose,0.0
37,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Aborted,1.0
38,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Request Count,1.0
39,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Violated Request Count,1.0
40,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Parsed Request Count,0.0
41,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_10,Request Success Ratio,0.0
42,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Precision,
43,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Recall,
44,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,F1,
45,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Main Score,
46,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Average Changed Cell Count,
47,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Average Generated Instruction Length,
48,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Average Generated Expression Number of Tokens,
49,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Success,0.0
50,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Lose,0.0
51,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Aborted,1.0
52,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Request Count,1.0
53,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Violated Request Count,1.0
54,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Parsed Request Count,0.0
55,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_11,Request Success Ratio,0.0
56,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Precision,
57,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Recall,
58,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,F1,
59,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Main Score,
60,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Average Changed Cell Count,
61,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Average Generated Instruction Length,
62,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Average Generated Expression Number of Tokens,
63,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Success,0.0
64,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Lose,0.0
65,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Aborted,1.0
66,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Request Count,1.0
67,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Violated Request Count,1.0
68,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Parsed Request Count,0.0
69,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_12,Request Success Ratio,0.0
70,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Precision,
71,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Recall,
72,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,F1,
73,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Main Score,
74,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Average Changed Cell Count,
75,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Average Generated Instruction Length,
76,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Average Generated Expression Number of Tokens,
77,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Success,0.0
78,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Lose,0.0
79,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Aborted,1.0
80,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Request Count,1.0
81,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Violated Request Count,1.0
82,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Parsed Request Count,0.0
83,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_13,Request Success Ratio,0.0
84,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Precision,
85,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Recall,
86,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,F1,
87,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Main Score,
88,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Average Changed Cell Count,
89,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Average Generated Instruction Length,
90,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Average Generated Expression Number of Tokens,
91,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Success,0.0
92,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Lose,0.0
93,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Aborted,1.0
94,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Request Count,1.0
95,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Violated Request Count,1.0
96,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Parsed Request Count,0.0
97,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_14,Request Success Ratio,0.0
98,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Precision,
99,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Recall,
100,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,F1,
101,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Main Score,
102,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Average Changed Cell Count,
103,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Average Generated Instruction Length,
104,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Average Generated Expression Number of Tokens,
105,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Success,0.0
106,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Lose,0.0
107,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Aborted,1.0
108,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Request Count,1.0
109,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Violated Request Count,1.0
110,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Parsed Request Count,0.0
111,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_15,Request Success Ratio,0.0
112,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Precision,
113,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Recall,
114,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,F1,
115,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Main Score,
116,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Average Changed Cell Count,
117,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Average Generated Instruction Length,
118,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Average Generated Expression Number of Tokens,
119,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Success,0.0
120,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Lose,0.0
121,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Aborted,1.0
122,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Request Count,1.0
123,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Violated Request Count,1.0
124,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Parsed Request Count,0.0
125,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_16,Request Success Ratio,0.0
126,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Precision,
127,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Recall,
128,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,F1,
129,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Main Score,
130,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Average Changed Cell Count,
131,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Average Generated Instruction Length,
132,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Average Generated Expression Number of Tokens,
133,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Success,0.0
134,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Lose,0.0
135,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Aborted,1.0
136,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Request Count,1.0
137,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Violated Request Count,1.0
138,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Parsed Request Count,0.0
139,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_17,Request Success Ratio,0.0
140,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Precision,
141,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Recall,
142,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,F1,
143,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Main Score,
144,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Average Changed Cell Count,
145,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Average Generated Instruction Length,
146,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Average Generated Expression Number of Tokens,
147,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Success,0.0
148,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Lose,0.0
149,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Aborted,1.0
150,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Request Count,1.0
151,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Violated Request Count,1.0
152,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Parsed Request Count,0.0
153,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_18,Request Success Ratio,0.0
154,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Precision,
155,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Recall,
156,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,F1,
157,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Main Score,
158,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Average Changed Cell Count,
159,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Average Generated Instruction Length,
160,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Average Generated Expression Number of Tokens,
161,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Success,0.0
162,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Lose,0.0
163,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Aborted,1.0
164,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Request Count,2.0
165,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Violated Request Count,1.0
166,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Parsed Request Count,1.0
167,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_19,Request Success Ratio,0.5
168,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Precision,
169,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Recall,
170,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,F1,
171,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Main Score,
172,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Average Changed Cell Count,
173,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Average Generated Instruction Length,
174,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Average Generated Expression Number of Tokens,
175,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Success,0.0
176,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Lose,0.0
177,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Aborted,1.0
178,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Request Count,1.0
179,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Violated Request Count,1.0
180,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Parsed Request Count,0.0
181,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_2,Request Success Ratio,0.0
182,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Precision,
183,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Recall,
184,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,F1,
185,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Main Score,
186,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Average Changed Cell Count,
187,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Average Generated Instruction Length,
188,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Average Generated Expression Number of Tokens,
189,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Success,0.0
190,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Lose,0.0
191,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Aborted,1.0
192,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Request Count,9.0
193,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Violated Request Count,1.0
194,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Parsed Request Count,8.0
195,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_3,Request Success Ratio,0.8889
196,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Precision,
197,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Recall,
198,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,F1,
199,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Main Score,
200,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Average Changed Cell Count,
201,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Average Generated Instruction Length,
202,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Average Generated Expression Number of Tokens,
203,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Success,0.0
204,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Lose,0.0
205,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Aborted,1.0
206,imagegame,c4ai-command-r-08-2024-t0.0--c4ai-command-r-08-2024-t0.0,0_compact_grids,episode_4,Request Count,4.0
